Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,9700 ,7100 , 13 000,,12 000 ,8900 , 16 000,,14 000 ,11 000 , 19 000,,17 000 ,13 000 , 21 000,,20 000 ,15 000 , 24 000,,23 000 ,19 000 , 28 000,,26 000 ,21 000 , 30 000,,27 000 ,22 000 , 32 000,,29 000 ,23 000 , 33 000,,30 000 ,25 000 , 35 000,,32 000 ,27 000 , 36 000,,33 000 ,28 000 , 37 000,,34 000 ,29 000 , 38 000,,34 000 ,29 000 , 39 000,,33 000 ,28 000 , 38 000,,32 000 ,27 000 , 37 000,,31 000 ,26 000 , 35 000,,30 000 ,25 000 , 34 000,,29 000 ,25 000 , 34 000,,28 000 ,24 000 , 33 000,,26 000 ,22 000 , 31 000,,26 000 ,21 000 , 30 000,,24 000 ,19 000 , 28 000,,22 000 ,18 000 , 26 000,,20 000 ,16 000 , 25 000,,19 000 ,14 000 , 23 000,,16 000 ,12 000 , 20 000,,13 000 ,9600 , 17 000,,12 000 ,8100 , 15 000,,12 000 ,8000 , 15 000,,9600 ,6600 , 12 000,,7200 ,4900 , 9600,,5800 ,4000 , 8200,
Denmark,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,
Djibouti,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Dominican Republic,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , 1000,,1100 ,<1000 , 1300,,1400 ,1200 , 1700,,1700 ,1500 , 2100,,2100 ,1800 , 2500,,2500 ,2100 , 3000,,2900 ,2400 , 3400,,3200 ,2700 , 3700,,3500 ,3000 , 4000,,3800 ,3200 , 4300,,4000 ,3500 , 4600,,4200 ,3600 , 4800,,4000 ,3500 , 4600,,3700 ,3200 , 4300,,3200 ,2800 , 3800,,2800 ,2300 , 3300,,2500 ,2100 , 3000,,2300 ,1900 , 2900,,2200 ,1800 , 2800,,2200 ,1700 , 2700,,2100 ,1700 , 2600,,1900 ,1500 , 2400,,1700 ,1300 , 2100,,1600 ,1200 , 2000,,1500 ,1200 , 2000,,1500 ,1100 , 1900,,1400 ,<1000 , 1800,,1200 ,<1000 , 1600,,1000 ,<1000 , 1400,,<1000 ,<1000 , 1100,
Ecuador,<100 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1200,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1200 ,<1000 , 1400,,1100 ,<1000 , 1400,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1100,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , <1000,,<1000 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,
Egypt,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,
El Salvador,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,
Equatorial Guinea,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1000,,<1000 ,<500 , 1100,,<1000 ,<1000 , 1300,,<1000 ,<1000 , 1400,,<1000 ,<1000 , 1400,,1100 ,<1000 , 1500,,1100 ,<1000 , 1500,,1200 ,<1000 , 1600,,1300 ,1000 , 1700,,1500 ,1200 , 1900,,1600 ,1200 , 1900,,1500 ,1100 , 1900,,1400 ,1100 , 1800,,1400 ,1000 , 1800,,1500 ,1100 , 2000,,1700 ,1200 , 2100,,1600 ,1200 , 2100,,1600 ,1200 , 2200,,1700 ,1200 , 2400,,1800 ,1200 , 2500,,1800 ,1200 , 2600,,1900 ,1200 , 2600,
Eritrea,<500 ,<100 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1200,,<1000 ,<1000 , 1300,,<1000 ,<1000 , 1300,,<1000 ,<1000 , 1400,,<1000 ,<1000 , 1400,,1000 ,<1000 , 1400,,1100 ,<1000 , 1500,,1100 ,<1000 , 1500,,1200 ,<1000 , 1600,,1100 ,<1000 , 1500,,<1000 ,<1000 , 1300,,<1000 ,<500 , 1100,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <500,,<500 ,<100 , <500,,<500 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,
Estonia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication."
Eswatini,<100 ,<100 , <100,,<200 ,<100 , <200,,<500 ,<200 , <500,,<500 ,<500 , <1000,,<1000 ,<1000 , <1000,,1100 ,<1000 , 1400,,1700 ,1300 , 2000,,2300 ,1900 , 2700,,3000 ,2600 , 3600,,3800 ,3200 , 4400,,4600 ,4000 , 5200,,5300 ,4700 , 5900,,5800 ,5200 , 6500,,6300 ,5700 , 7000,,6700 ,6000 , 7300,,6500 ,5900 , 7100,,5900 ,5300 , 6400,,5200 ,4700 , 5800,,4700 ,4100 , 5400,,4200 ,3600 , 4900,,3700 ,3300 , 4300,,3200 ,2800 , 3800,,3100 ,2700 , 3700,,3000 ,2600 , 3600,,3000 ,2600 , 3300,,2900 ,2600 , 3300,,2700 ,2400 , 3200,,2200 ,1900 , 2700,,2000 ,1700 , 2400,,2100 ,1800 , 2600,,2100 ,1800 , 2600,,1900 ,1600 , 2300,,1900 ,1600 , 2300,
Ethiopia,7000 ,4200 , 13 000,,9700 ,5800 , 18 000,,13 000 ,7800 , 25 000,,17 000 ,10 000 , 32 000,,21 000 ,13 000 , 40 000,,25 000 ,15 000 , 48 000,,29 000 ,18 000 , 56 000,,33 000 ,20 000 , 63 000,,37 000 ,22 000 , 70 000,,40 000 ,24 000 , 76 000,,42 000 ,25 000 , 80 000,,44 000 ,26 000 , 84 000,,45 000 ,27 000 , 86 000,,46 000 ,27 000 , 87 000,,45 000 ,27 000 , 85 000,,42 000 ,25 000 , 80 000,,37 000 ,22 000 , 70 000,,29 000 ,17 000 , 55 000,,23 000 ,14 000 , 43 000,,18 000 ,11 000 , 35 000,,15 000 ,8800 , 28 000,,12 000 ,7300 , 23 000,,11 000 ,6400 , 20 000,,10 000 ,6200 , 20 000,,11 000 ,6300 , 20 000,,11 000 ,6300 , 20 000,,10 000 ,6000 , 19 000,,9600 ,5700 , 18 000,,9400 ,5600 , 18 000,,9000 ,5300 , 17 000,,8200 ,4900 , 16 000,,7200 ,4300 , 14 000,,6600 ,3900 , 12 000,
Fiji,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,
Finland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
France,1700 ,1400 , 2000,,1900 ,1700 , 2300,,2200 ,1900 , 2500,,2400 ,2100 , 2800,,2700 ,2300 , 3100,,2900 ,2500 , 3400,,3100 ,2700 , 3700,,2200 ,1700 , 2600,,1100 ,<1000 , 1400,,<1000 ,<1000 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,
Gabon,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1200,,<1000 ,<1000 , 1400,,1000 ,<1000 , 1600,,1200 ,<1000 , 1800,,1400 ,<1000 , 2000,,1500 ,1000 , 2200,,1700 ,1100 , 2400,,1800 ,1200 , 2500,,1700 ,1200 , 2500,,1500 ,<1000 , 2200,,1400 ,<1000 , 2100,,1500 ,<1000 , 2100,,1500 ,<1000 , 2200,,1500 ,<1000 , 2200,,1500 ,1000 , 2200,,1600 ,1100 , 2200,,1500 ,<1000 , 2100,,1200 ,<1000 , 1800,,1000 ,<1000 , 1600,,1100 ,<1000 , 1600,,1200 ,<1000 , 1800,,1200 ,<1000 , 1800,,1300 ,<1000 , 1800,,1200 ,<1000 , 1800,,1200 ,<1000 , 1800,,1200 ,<1000 , 1800,,1100 ,<1000 , 1600,
Gambia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,
Georgia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,
Germany,1300 ,1100 , 1500,,1500 ,1200 , 1700,,1600 ,1400 , 1900,,1800 ,1500 , 2100,,1900 ,1600 , 2200,,<1000 ,<1000 , 1100,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <200,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,... ,... , ...,
Ghana,2200 ,1200 , 3900,,3000 ,1700 , 5000,,3800 ,2300 , 6000,,4800 ,3100 , 7200,,6000 ,4000 , 8800,,7200 ,5000 , 9900,,8400 ,6200 , 11 000,,9700 ,7400 , 12 000,,11 000 ,8600 , 14 000,,12 000 ,9900 , 15 000,,13 000 ,11 000 , 16 000,,14 000 ,12 000 , 17 000,,15 000 ,13 000 , 18 000,,16 000 ,14 000 , 19 000,,16 000 ,14 000 , 19 000,,16 000 ,14 000 , 19 000,,16 000 ,14 000 , 19 000,,15 000 ,13 000 , 18 000,,14 000 ,12 000 , 17 000,,13 000 ,11 000 , 16 000,,13 000 ,10 000 , 15 000,,11 000 ,9000 , 14 000,,10 000 ,8000 , 12 000,,10 000 ,8000 , 12 000,,10 000 ,8200 , 13 000,,10 000 ,8200 , 13 000,,10 000 ,8200 , 13 000,,11 000 ,8200 , 13 000,,11 000 ,8200 , 13 000,,10 000 ,7800 , 13 000,,8700 ,6700 , 11 000,,6800 ,5000 , 9200,,5700 ,4100 , 8100,
Greece,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication."
Grenada,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,
