Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote
Czechia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication."
Côte d'Ivoire,49 000 ,26 000 , 92 000,,70 000 ,40 000 , 130 000,,95 000 ,56 000 , 170 000,,130 000 ,77 000 , 220 000,,160 000 ,100 000 , 280 000,,210 000 ,130 000 , 340 000,,250 000 ,160 000 , 390 000,,300 000 ,200 000 , 440 000,,350 000 ,240 000 , 500 000,,390 000 ,280 000 , 550 000,,440 000 ,320 000 , 610 000,,480 000 ,360 000 , 650 000,,520 000 ,400 000 , 680 000,,560 000 ,440 000 , 710 000,,580 000 ,460 000 , 730 000,,600 000 ,480 000 , 740 000,,610 000 ,500 000 , 730 000,,610 000 ,510 000 , 730 000,,610 000 ,520 000 , 720 000,,600 000 ,520 000 , 700 000,,590 000 ,500 000 , 680 000,,570 000 ,500 000 , 650 000,,560 000 ,480 000 , 630 000,,540 000 ,470 000 , 610 000,,520 000 ,450 000 , 590 000,,500 000 ,440 000 , 570 000,,470 000 ,420 000 , 540 000,,450 000 ,400 000 , 520 000,,430 000 ,370 000 , 500 000,,400 000 ,350 000 , 480 000,,370 000 ,320 000 , 450 000,,350 000 ,290 000 , 430 000,,320 000 ,270 000 , 410 000,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,62 000 ,41 000 , 93 000,,82 000 ,57 000 , 120 000,,110 000 ,75 000 , 150 000,,130 000 ,97 000 , 190 000,,160 000 ,120 000 , 230 000,,200 000 ,150 000 , 270 000,,240 000 ,190 000 , 320 000,,280 000 ,220 000 , 360 000,,310 000 ,250 000 , 400 000,,350 000 ,280 000 , 440 000,,390 000 ,310 000 , 470 000,,420 000 ,340 000 , 510 000,,450 000 ,370 000 , 550 000,,480 000 ,400 000 , 580 000,,510 000 ,420 000 , 600 000,,530 000 ,440 000 , 620 000,,550 000 ,460 000 , 640 000,,560 000 ,480 000 , 650 000,,580 000 ,490 000 , 660 000,,590 000 ,500 000 , 670 000,,590 000 ,500 000 , 670 000,,590 000 ,510 000 , 680 000,,600 000 ,510 000 , 680 000,,600 000 ,510 000 , 680 000,,600 000 ,510 000 , 680 000,,590 000 ,500 000 , 670 000,,590 000 ,500 000 , 660 000,,580 000 ,490 000 , 660 000,,560 000 ,470 000 , 640 000,,550 000 ,450 000 , 630 000,,540 000 ,440 000 , 620 000,,510 000 ,410 000 , 590 000,,470 000 ,370 000 , 550 000,
Denmark,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<200 , <500,
Djibouti,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Dominican Republic,<1000 ,<500 , <1000,,1000 ,<1000 , 1400,,1600 ,1300 , 2200,,2500 ,2000 , 3200,,3600 ,2900 , 4600,,5100 ,4200 , 6400,,6900 ,5600 , 8700,,9100 ,7400 , 11 000,,12 000 ,9500 , 14 000,,14 000 ,12 000 , 18 000,,17 000 ,14 000 , 21 000,,21 000 ,17 000 , 25 000,,24 000 ,20 000 , 28 000,,27 000 ,22 000 , 32 000,,30 000 ,25 000 , 36 000,,33 000 ,28 000 , 39 000,,35 000 ,30 000 , 41 000,,37 000 ,32 000 , 43 000,,38 000 ,33 000 , 44 000,,39 000 ,33 000 , 45 000,,39 000 ,34 000 , 45 000,,40 000 ,34 000 , 46 000,,40 000 ,35 000 , 46 000,,40 000 ,35 000 , 46 000,,40 000 ,35 000 , 46 000,,39 000 ,34 000 , 45 000,,39 000 ,34 000 , 44 000,,38 000 ,33 000 , 44 000,,37 000 ,32 000 , 43 000,,36 000 ,31 000 , 43 000,,35 000 ,30 000 , 42 000,,34 000 ,29 000 , 41 000,,32 000 ,27 000 , 39 000,
Ecuador,<1000 ,<500 , 1300,,<1000 ,<500 , 1500,,<1000 ,<500 , 1800,,1100 ,<1000 , 2100,,1300 ,<1000 , 2500,,1600 ,<1000 , 2800,,1900 ,1200 , 3200,,2300 ,1500 , 3800,,2900 ,1900 , 4400,,3500 ,2400 , 5100,,4200 ,2900 , 6000,,5000 ,3500 , 7000,,5900 ,4200 , 8100,,6900 ,5100 , 9300,,8100 ,6100 , 11 000,,9200 ,7100 , 12 000,,10 000 ,8200 , 13 000,,12 000 ,9300 , 15 000,,13 000 ,10 000 , 16 000,,14 000 ,11 000 , 17 000,,15 000 ,12 000 , 18 000,,15 000 ,13 000 , 19 000,,16 000 ,13 000 , 19 000,,17 000 ,14 000 , 20 000,,18 000 ,15 000 , 21 000,,18 000 ,15 000 , 22 000,,19 000 ,16 000 , 22 000,,18 000 ,16 000 , 22 000,,18 000 ,15 000 , 21 000,,17 000 ,14 000 , 20 000,,16 000 ,13 000 , 19 000,,14 000 ,11 000 , 17 000,,13 000 ,9700 , 16 000,
Egypt,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,1100 ,<1000 , 1300,,1300 ,1000 , 1600,,1600 ,1300 , 1900,,1900 ,1600 , 2300,,2300 ,1900 , 2800,,2800 ,2300 , 3300,,3200 ,2700 , 3800,,3600 ,3000 , 4300,,4100 ,3400 , 4900,,4600 ,3700 , 5500,,5100 ,4100 , 6200,
El Salvador,<100 ,<100 , <200,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , 1400,,1300 ,<1000 , 1900,,1700 ,1000 , 2400,,2300 ,1400 , 3000,,2900 ,1800 , 3700,,3500 ,2300 , 4500,,4300 ,3000 , 5300,,5000 ,3600 , 6200,,5800 ,4300 , 7000,,6500 ,4900 , 7800,,7200 ,5500 , 8400,,7600 ,6000 , 8900,,8000 ,6400 , 9300,,8300 ,6700 , 9600,,8600 ,7000 , 9900,,8700 ,7100 , 10 000,,8700 ,7100 , 10 000,,8700 ,7100 , 10 000,,9000 ,7300 , 11 000,,9100 ,7400 , 11 000,,9400 ,7700 , 11 000,,9700 ,7900 , 12 000,,9900 ,8100 , 12 000,,10 000 ,8300 , 12 000,,10 000 ,8500 , 12 000,,10 000 ,8400 , 12 000,,10 000 ,8200 , 12 000,,9900 ,8000 , 12 000,
Equatorial Guinea,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<1000 ,<200 , 1200,,<1000 ,<500 , 1600,,<1000 ,<500 , 2100,,1200 ,<1000 , 2600,,1600 ,<1000 , 3300,,2100 ,<1000 , 4000,,2600 ,1300 , 4800,,3300 ,1800 , 5900,,4100 ,2200 , 7100,,4900 ,2800 , 8400,,5900 ,3600 , 9800,,7000 ,4300 , 11 000,,8100 ,5100 , 13 000,,9300 ,6000 , 14 000,,11 000 ,6900 , 15 000,,12 000 ,7900 , 17 000,,13 000 ,9100 , 19 000,,15 000 ,11 000 , 20 000,,17 000 ,12 000 , 22 000,,19 000 ,14 000 , 24 000,,21 000 ,16 000 , 26 000,,22 000 ,18 000 , 28 000,,24 000 ,20 000 , 30 000,,26 000 ,21 000 , 32 000,,29 000 ,24 000 , 35 000,,31 000 ,25 000 , 38 000,,33 000 ,27 000 , 40 000,,35 000 ,28 000 , 43 000,,37 000 ,30 000 , 46 000,,39 000 ,31 000 , 48 000,,40 000 ,32 000 , 50 000,
Eritrea,1300 ,<500 , 2700,,1800 ,<1000 , 3700,,2200 ,<1000 , 4500,,2900 ,1000 , 5600,,3700 ,1500 , 6900,,4600 ,2100 , 8300,,5800 ,2600 , 10 000,,7100 ,3400 , 12 000,,8400 ,4300 , 14 000,,9500 ,5300 , 15 000,,11 000 ,6400 , 16 000,,12 000 ,7300 , 18 000,,13 000 ,8700 , 19 000,,14 000 ,9400 , 20 000,,15 000 ,10 000 , 22 000,,16 000 ,11 000 , 22 000,,17 000 ,12 000 , 23 000,,17 000 ,12 000 , 23 000,,17 000 ,12 000 , 23 000,,17 000 ,12 000 , 23 000,,17 000 ,12 000 , 23 000,,16 000 ,11 000 , 23 000,,16 000 ,11 000 , 23 000,,16 000 ,10 000 , 22 000,,15 000 ,9200 , 21 000,,14 000 ,8600 , 20 000,,14 000 ,7700 , 19 000,,13 000 ,6900 , 18 000,,12 000 ,6200 , 18 000,,12 000 ,5700 , 18 000,,11 000 ,5300 , 17 000,,11 000 ,4700 , 16 000,,10 000 ,4200 , 15 000,
Estonia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , 1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , 1100,"Children estimates were not available at the time of publication.",<1000 ,<500 , 1200,"Children estimates were not available at the time of publication."
Eswatini,<200 ,<200 , <500,,<500 ,<500 , <1000,,<1000 ,<1000 , 1300,,1800 ,1300 , 2800,,3400 ,2600 , 5300,,5900 ,4400 , 8900,,9400 ,7000 , 14 000,,14 000 ,11 000 , 21 000,,20 000 ,16 000 , 30 000,,28 000 ,22 000 , 39 000,,36 000 ,29 000 , 50 000,,46 000 ,38 000 , 61 000,,55 000 ,46 000 , 72 000,,63 000 ,54 000 , 81 000,,71 000 ,62 000 , 90 000,,79 000 ,70 000 , 97 000,,86 000 ,77 000 , 100 000,,90 000 ,81 000 , 110 000,,93 000 ,85 000 , 110 000,,96 000 ,87 000 , 110 000,,98 000 ,89 000 , 110 000,,98 000 ,89 000 , 110 000,,99 000 ,89 000 , 110 000,,98 000 ,88 000 , 110 000,,98 000 ,87 000 , 110 000,,94 000 ,84 000 , 110 000,,89 000 ,79 000 , 100 000,,83 000 ,73 000 , 96 000,,77 000 ,68 000 , 90 000,,72 000 ,64 000 , 86 000,,68 000 ,60 000 , 82 000,,62 000 ,55 000 , 75 000,,57 000 ,50 000 , 70 000,
Ethiopia,36 000 ,19 000 , 61 000,,52 000 ,27 000 , 87 000,,74 000 ,38 000 , 120 000,,100 000 ,52 000 , 170 000,,140 000 ,70 000 , 230 000,,180 000 ,92 000 , 300 000,,220 000 ,120 000 , 370 000,,280 000 ,140 000 , 460 000,,330 000 ,170 000 , 560 000,,390 000 ,200 000 , 650 000,,440 000 ,230 000 , 740 000,,500 000 ,260 000 , 840 000,,550 000 ,290 000 , 920 000,,600 000 ,310 000 , 1 000 000,,640 000 ,330 000 , 1 100 000,,670 000 ,350 000 , 1 100 000,,690 000 ,360 000 , 1 200 000,,710 000 ,370 000 , 1 200 000,,710 000 ,370 000 , 1 200 000,,700 000 ,360 000 , 1 200 000,,680 000 ,350 000 , 1 100 000,,650 000 ,340 000 , 1 100 000,,610 000 ,320 000 , 1 000 000,,570 000 ,300 000 , 950 000,,530 000 ,280 000 , 890 000,,500 000 ,260 000 , 830 000,,460 000 ,240 000 , 780 000,,430 000 ,220 000 , 720 000,,400 000 ,210 000 , 680 000,,380 000 ,200 000 , 640 000,,360 000 ,190 000 , 600 000,,330 000 ,170 000 , 560 000,,310 000 ,160 000 , 530 000,
Fiji,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<100 ,<100 , <500,,<100 ,<100 , <500,,<100 ,<100 , <500,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,
Finland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
France,5800 ,4700 , 7000,,6900 ,5600 , 8300,,8100 ,6600 , 9700,,9400 ,7700 , 11 000,,11 000 ,8900 , 13 000,,12 000 ,10 000 , 15 000,,14 000 ,11 000 , 16 000,,15 000 ,13 000 , 18 000,,16 000 ,13 000 , 19 000,,16 000 ,13 000 , 19 000,,15 000 ,12 000 , 18 000,,14 000 ,11 000 , 17 000,,13 000 ,11 000 , 16 000,,12 000 ,9600 , 16 000,,12 000 ,8700 , 15 000,,11 000 ,8000 , 14 000,,10 000 ,7400 , 14 000,,9800 ,6900 , 14 000,,9400 ,6500 , 14 000,,9200 ,6200 , 14 000,,9200 ,6100 , 14 000,,9400 ,6100 , 15 000,,9700 ,6200 , 16 000,,10 000 ,6300 , 18 000,,11 000 ,6600 , 19 000,,11 000 ,6900 , 21 000,,12 000 ,6800 , 22 000,,12 000 ,6800 , 23 000,,12 000 ,6800 , 23 000,,12 000 ,6900 , 25 000,,12 000 ,7000 , 26 000,,13 000 ,7300 , 27 000,,13 000 ,7600 , 28 000,
Gabon,<1000 ,<500 , 1300,,<1000 ,<500 , 1900,,1200 ,<1000 , 2600,,1700 ,<1000 , 3500,,2300 ,1200 , 4500,,3000 ,1700 , 5900,,4000 ,2300 , 7500,,5200 ,3000 , 9400,,6500 ,4000 , 12 000,,8100 ,5100 , 14 000,,9800 ,6300 , 17 000,,12 000 ,7800 , 19 000,,14 000 ,9000 , 21 000,,15 000 ,10 000 , 24 000,,17 000 ,12 000 , 26 000,,19 000 ,13 000 , 28 000,,20 000 ,14 000 , 29 000,,22 000 ,15 000 , 30 000,,23 000 ,15 000 , 32 000,,24 000 ,16 000 , 33 000,,26 000 ,17 000 , 35 000,,27 000 ,19 000 , 36 000,,28 000 ,19 000 , 37 000,,29 000 ,20 000 , 38 000,,29 000 ,20 000 , 38 000,,29 000 ,20 000 , 39 000,,30 000 ,21 000 , 39 000,,30 000 ,21 000 , 40 000,,31 000 ,21 000 , 40 000,,31 000 ,21 000 , 40 000,,31 000 ,21 000 , 41 000,,32 000 ,21 000 , 41 000,,31 000 ,21 000 , 41 000,
Gambia,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<1000 ,<500 , 1200,,<1000 ,<500 , 1600,,1100 ,<1000 , 2200,,1600 ,<1000 , 2800,,2200 ,1300 , 3500,,2900 ,1900 , 4500,,3700 ,2500 , 5600,,4700 ,3300 , 6800,,5800 ,4200 , 8200,,7000 ,5100 , 9700,,8300 ,6100 , 11 000,,9600 ,7200 , 13 000,,11 000 ,8300 , 15 000,,12 000 ,9400 , 16 000,,14 000 ,11 000 , 18 000,,15 000 ,12 000 , 20 000,,17 000 ,13 000 , 21 000,,18 000 ,14 000 , 22 000,,19 000 ,14 000 , 24 000,,20 000 ,15 000 , 25 000,,21 000 ,16 000 , 27 000,,22 000 ,17 000 , 28 000,,23 000 ,18 000 , 29 000,,24 000 ,19 000 , 30 000,,25 000 ,20 000 , 31 000,,26 000 ,20 000 , 32 000,,26 000 ,20 000 , 33 000,,27 000 ,20 000 , 34 000,
Georgia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1000,
Germany,2800 ,2200 , 3400,,3700 ,2900 , 4500,,4600 ,3700 , 5600,,5600 ,4500 , 6700,,6600 ,5300 , 7800,,7600 ,6100 , 8900,,7400 ,5900 , 8800,,7200 ,5700 , 8800,,7100 ,5400 , 8700,,6900 ,5200 , 8700,,6600 ,5100 , 8500,,6300 ,4700 , 8100,,5900 ,4400 , 7700,,5500 ,4000 , 7100,,4900 ,3600 , 6400,,4400 ,3200 , 5700,,3900 ,2800 , 5100,,3600 ,2600 , 4600,,3300 ,2400 , 4300,,3100 ,2200 , 4000,,2900 ,2100 , 3800,,2700 ,2000 , 3700,,2600 ,1900 , 3600,,2500 ,1800 , 3500,,2400 ,1700 , 3400,,2300 ,1600 , 3400,,2200 ,1500 , 3200,,2100 ,1400 , 3200,,2000 ,1400 , 3200,,2000 ,1300 , 3300,,1900 ,1300 , 3200,,1800 ,1200 , 3200,,... ,... , ...,
